Category: All categories

Week,never gonna give you up: (United States),never gonna let you down: (United States),Never gonna run around: (United States),and desert you: (United States)
2019-02-24,52,4,0,14
2019-03-03,50,4,1,14
2019-03-10,50,5,0,13
2019-03-17,58,7,1,13
2019-03-24,52,3,1,12
2019-03-31,68,4,0,14
2019-04-07,53,6,1,16
2019-04-14,55,4,1,12
2019-04-21,68,7,1,11
2019-04-28,57,7,2,19
2019-05-05,56,6,1,9
2019-05-12,57,7,1,16
2019-05-19,53,6,0,10
2019-05-26,50,6,1,10
2019-06-02,51,5,0,13
2019-06-09,44,4,0,9
2019-06-16,36,4,0,7
2019-06-23,48,4,1,9
2019-06-30,47,4,1,7
2019-07-07,46,4,0,7
2019-07-14,42,3,1,8
2019-07-21,47,3,1,7
2019-07-28,44,4,0,8
2019-08-04,47,2,1,7
2019-08-11,48,4,1,7
2019-08-18,49,3,1,11
2019-08-25,46,5,0,14
2019-09-01,49,2,1,9
2019-09-08,57,5,1,13
2019-09-15,56,5,1,16
2019-09-22,58,2,1,15
2019-09-29,64,3,0,15
2019-10-06,66,4,1,12
2019-10-13,62,4,1,10
2019-10-20,70,3,1,16
2019-10-27,60,3,1,11
2019-11-03,59,3,0,15
2019-11-10,56,4,1,13
2019-11-17,59,2,0,11
2019-11-24,52,3,1,9
2019-12-01,53,3,1,13
2019-12-08,54,2,1,13
2019-12-15,54,3,1,10
2019-12-22,46,3,1,7
2019-12-29,52,4,1,10
2020-01-05,60,3,1,9
2020-01-12,63,4,1,14
2020-01-19,63,5,1,10
2020-01-26,63,3,0,17
2020-02-02,73,5,1,12
2020-02-09,97,5,1,11
2020-02-16,100,4,1,16
